projection_x_coordinate,projection_y_coordinate,hw_threshold
438000,1194000,25
450000,1194000,25
462000,1194000,25
474000,1194000,25
486000,1194000,25
498000,1194000,25
510000,1194000,25
522000,1194000,25
534000,1194000,25
546000,1194000,25
558000,1194000,25
570000,1194000,25
582000,1194000,25
594000,1194000,100
606000,1194000,100
618000,1194000,100
630000,1194000,100
642000,1194000,100
654000,1194000,100
666000,1194000,100
678000,1194000,100
690000,1194000,100
702000,1194000,100
714000,1194000,100
726000,1194000,100
738000,1194000,100
750000,1194000,100
762000,1194000,100
-210000,1182000,100
-198000,1182000,100
-186000,1182000,100
-174000,1182000,100
-162000,1182000,100
-150000,1182000,100
-138000,1182000,100
-126000,1182000,100
-114000,1182000,100
-102000,1182000,100
-90000,1182000,100
-78000,1182000,100
-66000,1182000,100
-54000,1182000,100
-42000,1182000,100
-30000,1182000,100
-18000,1182000,100
-6000,1182000,100
6000,1182000,100
18000,1182000,100
30000,1182000,100
42000,1182000,100
54000,1182000,100
66000,1182000,100
78000,1182000,100
90000,1182000,100
102000,1182000,100
114000,1182000,100
126000,1182000,100
138000,1182000,100
150000,1182000,100
162000,1182000,100
174000,1182000,100
186000,1182000,100
198000,1182000,100
210000,1182000,100
222000,1182000,100
234000,1182000,100
246000,1182000,100
258000,1182000,100
270000,1182000,100
282000,1182000,100
294000,1182000,100
306000,1182000,25
318000,1182000,25
330000,1182000,25
342000,1182000,25
354000,1182000,25
366000,1182000,25
378000,1182000,25
390000,1182000,25
402000,1182000,25
414000,1182000,25
426000,1182000,25
438000,1182000,25
450000,1182000,25
462000,1182000,25
474000,1182000,25
486000,1182000,25
498000,1182000,25
510000,1182000,25
522000,1182000,25
534000,1182000,25
546000,1182000,25
558000,1182000,25
570000,1182000,25
582000,1182000,100
594000,1182000,100
606000,1182000,100
618000,1182000,100
630000,1182000,100
642000,1182000,100
654000,1182000,100
666000,1182000,100
678000,1182000,100
690000,1182000,100
702000,1182000,100
714000,1182000,100
726000,1182000,100
738000,1182000,100
750000,1182000,100
762000,1182000,100
-210000,1170000,100
-198000,1170000,100
-186000,1170000,100
-174000,1170000,100
-162000,1170000,100
-150000,1170000,100
-138000,1170000,100
-126000,1170000,100
-114000,1170000,100
-102000,1170000,100
-90000,1170000,100
-78000,1170000,100
-66000,1170000,100
-54000,1170000,100
-42000,1170000,100
-30000,1170000,100
-18000,1170000,100
-6000,1170000,100
6000,1170000,100
18000,1170000,100
30000,1170000,100
42000,1170000,100
54000,1170000,100
66000,1170000,100
78000,1170000,100
90000,1170000,100
102000,1170000,100
114000,1170000,100
126000,1170000,100
138000,1170000,100
150000,1170000,100
162000,1170000,100
174000,1170000,100
186000,1170000,100
198000,1170000,100
210000,1170000,100
222000,1170000,100
234000,1170000,100
246000,1170000,100
258000,1170000,100
270000,1170000,100
282000,1170000,100
294000,1170000,100
306000,1170000,100
318000,1170000,25
330000,1170000,25
342000,1170000,25
354000,1170000,25
366000,1170000,25
378000,1170000,25
390000,1170000,25
402000,1170000,25
414000,1170000,25
426000,1170000,25
438000,1170000,25
450000,1170000,25
462000,1170000,25
474000,1170000,25
486000,1170000,25
498000,1170000,25
510000,1170000,25
522000,1170000,25
534000,1170000,25
546000,1170000,25
558000,1170000,25
570000,1170000,25
582000,1170000,100
594000,1170000,100
606000,1170000,100
618000,1170000,100
630000,1170000,100
642000,1170000,100
654000,1170000,100
666000,1170000,100
678000,1170000,100
690000,1170000,100
702000,1170000,100
714000,1170000,100
726000,1170000,100
738000,1170000,100
750000,1170000,100
762000,1170000,100
-210000,1158000,100
-198000,1158000,100
-186000,1158000,100
-174000,1158000,100
-162000,1158000,100
-150000,1158000,100
-138000,1158000,100
-126000,1158000,100
-114000,1158000,100
-102000,1158000,100
-90000,1158000,100
-78000,1158000,100
-66000,1158000,100
-54000,1158000,100
-42000,1158000,100
-30000,1158000,100
-18000,1158000,100
-6000,1158000,100
6000,1158000,100
18000,1158000,100
30000,1158000,100
42000,1158000,100
54000,1158000,100
66000,1158000,100
78000,1158000,100
