objectid,ctyua19cd,ctyua19nm,ctyua19nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,_mean,_min
"28",E06000030,Swindon,,"418551","186564",-1.733670000000000,51.577628999999995,227720526.640504330396652,83649.254196992129437,1.754397957408204,1.566076159477234
"29",E06000031,Peterborough,,"517372","300777",-0.268740000000000,52.592140000000001,342190158.161890506744385,97196.068818606538116,1.747015178203583,1.661174297332764
"30",E06000032,Luton,,"508606","222559",-0.423190000000000,51.891022000000000,44068117.799266777932644,30772.555939753896382,1.514350928987658,1.498379945755005
"31",E06000033,Southend-on-Sea,,"587777","186837",0.706923000000000,51.549171000000001,44692735.338827647268772,36478.588266339582333,3.353063658724728,2.629964351654053
"32",E06000034,Thurrock,,"562123","181590",0.334861000000000,51.509979000000001,161110777.921560287475586,71948.039755889869411,2.474604764965440,2.231937170028687
"33",E06000035,Medway,,"578207","175198",0.563174000000000,51.447719999999997,190967950.321515321731567,115739.730006115991273,2.306839947444489,1.925631046295166
"34",E06000036,Bracknell Forest,,"488169","168792",-0.733630000000000,51.411300999999995,108233672.335588261485100,57917.019137074508762,2.164338111877441,2.116597414016724
"35",E06000037,West Berkshire,,"450575","172095",-1.273640000000000,51.445591000000000,701217777.186149001121521,143114.430665935418801,1.765460819005966,1.623190760612488
"36",E06000038,Reading,,"470226","173154",-0.990710000000000,51.453018000000000,41326311.023076690733433,30503.947566670649394,2.074258884948691,1.975987792015076
"37",E06000039,Slough,,"498920","179246",-0.576170000000000,51.503502000000005,32201925.662017464637756,37004.536781352973776,2.293160863862978,2.072873353958130
"38",E06000040,Windsor and Maidenhead,,"492079","176541",-0.675410000000000,51.480339000000001,197413883.654866367578506,102626.060278227436356,2.216773372120062,1.875381946563721
"39",E06000041,Wokingham,,"476624","169902",-0.899350000000000,51.422958000000001,179124859.588281333446503,75874.001667711578193,2.106311760693888,1.875381946563721
"40",E06000042,Milton Keynes,,"486408","242308",-0.740700000000000,52.072411000000002,309327268.513173699378967,87925.407811010954902,1.559727847576141,1.541024923324585
"41",E06000043,Brighton and Hove,,"530279","106850",-0.150790000000000,50.846499999999999,86830163.538003355264664,47744.181698735737882,2.896738162005648,2.517138719558716
"42",E06000044,Portsmouth,,"465619","101352",-1.070060000000000,50.807999000000002,38681182.159073829650879,46096.796876279069693,4.809254855309232,4.767043113708496
"43",E06000045,Southampton,,"442303","113700",-1.399520000000000,50.921199999999999,51302492.457810118794441,37824.532123335855431,2.746657405388702,2.744923591613770
"44",E06000046,Isle of Wight,,"447183","85949",-1.333660000000000,50.671290999999997,380492164.757188737392426,115358.163903429434868,4.734035015106201,3.445194721221924
"45",E06000047,County Durham,,"410381","532242",-1.840500000000000,54.685130999999998,2231125517.268791675567627,264032.927495836513117,-0.838985383510590,-3.442782402038574
"46",E06000049,Cheshire East,,"380510","363462",-2.292990000000000,53.167931000000003,1168796057.559896230697632,236392.416985264600953,1.188957415521145,0.596672773361206
"47",E06000050,Cheshire West and Chester,,"353097","363145",-2.702980000000000,53.163361000000002,918494056.600466609001160,226413.942405246925773,1.685272795813424,1.341094851493835
"48",E06000051,Shropshire,,"350227","302960",-2.736670000000000,52.622120000000002,3188264185.456550598144531,469624.124702053435612,1.157569903135300,0.540901303291321
"49",E06000052,Cornwall,,"212497","64493",-4.642540000000000,50.450218000000000,3581790891.000926494598389,555185.681446036789566,3.746506514372649,2.425839424133301
"50",E06000053,Isles of Scilly,,"91327","11447",-6.302170000000000,49.923320999999994,14741027.077183289453387,42490.767834919846791,7.334285795062634,7.312091827392578
"51",E06000054,Wiltshire,,"405209","158863",-1.926610000000000,51.328831000000001,3258221477.748732566833496,348922.106721655174624,1.866558240807575,1.566076159477234
"52",E06000055,Bedford,,"505721","256463",-0.454630000000000,52.196280999999999,475803430.167866408824921,115931.402375608347938,1.599719762802124,1.567668676376343
"53",E06000056,Central Bedfordshire,,"504615","234492",-0.477540000000000,51.999031000000002,709169826.973610043525696,200740.568495412240736,1.560213446617126,1.498379945755005
"54",E06000057,Northumberland,,"395322","600699",-2.075230000000000,55.300369000000003,5033705297.170210838317871,445104.766524075530469,-0.090877109000252,-2.870125055313110
"55",E06000058,"Bournemouth, Christchurch and Poole",,"410815","94066",-1.848070000000000,50.746090000000002,162573149.956533759832382,94508.227057484560646,3.756700882999461,2.905782938003540
"56",E06000059,Dorset,,"370871","99796",-2.414670000000000,50.796970000000002,2491765914.431848526000977,398443.830534867243841,2.649647418190451,2.053566694259644
"57",E08000001,Bolton,,"368352","409873",-2.479520000000000,53.584492000000004,138708159.810586035251617,64700.007374182998319,1.536276000400040,1.127264618873596
"58",E08000002,Bury,,"379658","410768",-2.308800000000000,53.593102000000002,100752668.832529336214066,57024.343964007173781,1.344953126213335,0.589048564434052
"59",E08000003,Manchester,,"384591","397063",-2.233590000000000,53.470089000000002,111895372.049991399049759,69389.334244762139861,1.385968387972136,0.990726530551910
"60",E08000004,Oldham,,"396603","406784",-2.052740000000000,53.557678000000003,144009083.688842713832855,60962.516153654250957,0.357700228691101,-0.275326073169708
"61",E08000005,Rochdale,,"390315","412326",-2.147840000000000,53.607410000000002,156240276.628955930471420,70324.199730631953571,0.621186096079925,0.108125463128090
"62",E08000006,Salford,,"374556","398128",-2.384850000000000,53.479270999999997,97966760.852253586053848,56607.457492669142084,1.798471257809720,1.784203410148621
"63",E08000007,Stockport,,"391806","388264",-2.124670000000000,53.391159000000002,125536175.953430086374283,56951.002107201158651,0.730356374317051,-0.443307071924210
"64",E08000008,Tameside,,"394987","397995",-2.077000000000000,53.478667999999999,102159712.453144162893295,43841.721507214322628,0.335619280629970,-0.443307071924210
"65",E08000009,Trafford,,"375790","391162",-2.365720000000000,53.416710000000002,108001520.134188205003738,50772.155121418029012,1.958002954041312,1.784203410148621
"66",E08000010,Wigan,,"362136","402126",-2.572470000000000,53.514450000000004,188328606.718358725309372,71520.347169040673180,1.919787287712097,1.798643589019775
"67",E08000011,Knowsley,,"344762","393778",-2.832970000000000,53.437881000000004,86257644.238019376993179,57788.903880592188216,2.316765008060948,1.903311014175415
"68",E08000012,Liverpool,,"339361","390553",-2.913640000000000,53.408298000000002,113076469.188679680228233,54743.309561288297118,2.284919302167634,1.903311014175415
"69",E08000013,St. Helens,,"353412","395992",-2.703100000000000,53.458617999999994,135955079.347707808017731,64907.641769978523371,2.050467255067019,1.821980953216553
"70",E08000014,Sefton,,"334282","398832",-2.991770000000000,53.482101000000000,153603784.075740873813629,96011.715582069111406,2.857890725135803,2.811118364334106
"71",E08000015,Wirral,,"329110","386965",-3.067010000000000,53.374778999999997,156254950.462526768445969,73355.303838982945308,2.538863066348225,1.903311014175415
"72",E08000016,Barnsley,,"429979","403327",-1.549250000000000,53.525767999999999,327231730.553473412990570,106147.881594816310098,0.396165897448858,-0.730306982994080
"73",E08000017,Doncaster,,"459167","403735",-1.108940000000000,53.526969999999999,568185323.243075728416443,116466.439724589508842,1.729361325502396,1.637059450149536
"74",E08000018,Rotherham,,"447542","388980",-1.286510000000000,53.395530999999998,289185192.302456855773926,88845.363251406699419,1.349177106047545,1.032471060752869
"75",E08000019,Sheffield,,"430511","389736",-1.542540000000000,53.403579999999998,366749529.310543656349182,114173.751548163025291,0.623707249760628,0.214943438768387
"76",E08000021,Newcastle upon Tyne,,"422287","569662",-1.652970000000000,55.021011000000001,114647993.930546775460243,53458.421339343687578,1.188661876744772,0.557347416877747
"77",E08000022,North Tyneside,,"431471","570602",-1.509230000000000,55.028961000000002,83154622.553268417716026,51169.664841679790698,2.195652786881802,1.357577919960022
"78",E08000023,South Tyneside,,"435514","564057",-1.446790000000000,54.969878999999999,62745878.081937491893768,40133.917711152527772,1.841694307244425,1.050794124603271
"79",E08000024,Sunderland,,"436470","551524",-1.433440000000000,54.857189000000005,136500589.765919834375381,58504.446990135860688,1.102760239849401,0.717237293720245
"80",E08000025,Birmingham,,"408150","287352",-1.881410000000000,52.484039000000003,269026608.653708219528198,88776.343218749170774,1.505877733230591,1.463209271430969
"81",E08000026,Coventry,,"432807","279689",-1.519080000000000,52.414230000000003,99799013.658853396773338,43481.405727399338502,1.514639869275779,1.411965370178223
"82",E08000027,Dudley,,"393191","288584",-2.101710000000000,52.495128999999999,97264778.321886315941811,60125.223757091021980,1.586414882889731,1.469027638435364
"83",E08000028,Sandwell,,"399573","290764",-2.007710000000000,52.514770999999996,85222122.499114140868187,48306.248594953765860,1.657510373379670,1.469027638435364
"84",E08000029,Solihull,,"419434","281483",-1.715580000000000,52.430999999999997,177542587.905797839164734,82695.460772940117749,1.430782735347748,1.414145231246948
"85",E08000030,Walsall,,"402098","300804",-1.970440000000000,52.605029999999999,104027261.810830533504486,49836.872832422035572,1.658977505992439,1.463209271430969
"86",E08000031,Wolverhampton,,"391463","300016",-2.127460000000000,52.597881000000001,69466620.759776279330254,41126.961079346365295,1.705700703864951,1.627894401550293
"87",E08000032,Bradford,,"408395","438626",-1.873890000000000,53.843819000000003,368386843.278937041759491,113226.190390701682190,0.846632823348045,0.494176357984543
"88",E08000033,Calderdale,,"402617","424896",-1.961820000000000,53.720481999999997,367618489.551429212093353,94050.245663663285086,0.511316517988841,0.249141663312912
"89",E08000034,Kirklees,,"414586","416223",-1.780850000000000,53.642330000000001,405306353.685125768184662,106837.808448503492400,0.132898300886154,0.108125463128090
"90",E08000035,Leeds,,"432528","436384",-1.507360000000000,53.822730999999997,550578568.510784029960632,133753.100810666859616,1.537126421928406,1.304512143135071
"91",E08000036,Wakefield,,"438366","418235",-1.420920000000000,53.659222000000000,337273074.664593040943146,90373.739382219238905,1.396840254465739,0.806080579757690
"92",E08000037,Gateshead,,"420168","559658",-1.686800000000000,54.931198000000002,145563182.476312667131424,68298.607457555306610,0.804070770740509,0.557347416877747
"93",E09000001,City of London,,"532381","181359",-0.093530000000000,51.515651999999996,2505777.027861990034580,6744.959499147215865,3.056552171707153,3.056552171707153
"94",E09000002,Barking and Dagenham,,"547757","185111",0.129479000000000,51.545550999999996,36924214.339204691350460,30967.588945573199453,2.904817104339600,2.904817104339600
"95",E09000003,Barnet,,"523472","191753",-0.218210000000000,51.611079999999994,86643073.118392646312714,41838.786308640104835,2.763705664437420,2.592053413391113
"96",E09000004,Bexley,,"549203","175435",0.146227000000000,51.458228999999996,60423297.162088699638844,36180.620425930726924,2.362922480132498,2.231937170028687
"97",E09000005,Brent,,"519615","186468",-0.275680000000000,51.564411000000000,44168269.900598667562008,33233.912279626434611,2.966517149107421,2.733502864837646
"98",E09000006,Bromley,,"542036","165708",0.039246000000000,51.372669000000002,150198156.303862661123276,63033.449938273202861,2.088141146133911,1.839167118072510
"99",E09000007,Camden,,"527492","184284",-0.162890000000000,51.543059999999997,21274131.032924298197031,22056.453536345234170,3.008405427493165,2.968087196350098
"100",E09000008,Croydon,,"533922","164745",-0.077610000000000,51.365978000000005,85993776.890795022249222,46725.308266498133889,2.290879686993002,1.953870892524719
